Date;Symbol;Clos
2024-01-02;A;138.53
2024-01-03;A;130.95
2024-01-04;A;130.79
2024-01-05;A;130.35
2024-01-08;A;133.16
2024-01-09;A;130.47
2024-01-10;A;130.88
2024-01-11;A;129.47
2024-01-12;A;130.33
2024-01-16;A;130.32
2024-01-17;A;127.91
2024-01-18;A;130.25
2024-01-19;A;131.01
2024-01-22;A;132.34
2024-01-23;A;131.43
2024-01-24;A;129.57
2024-01-25;A;129.67
2024-01-26;A;130.78
2024-01-29;A;132.61
2024-01-30;A;134.06
2024-01-31;A;129.89
2024-02-01;A;132.83
2024-02-02;A;132.75
2024-02-05;A;132.6
2024-02-06;A;135.64
2024-02-07;A;132.57
2024-02-08;A;133.85
2024-02-09;A;133.12
2024-02-12;A;132.1
2024-02-13;A;129.55
2024-02-14;A;132.03
2024-02-15;A;134.53
2024-02-16;A;134.62
2024-02-20;A;133.92
2024-02-21;A;135.11
2024-02-22;A;131.81
2024-02-23;A;131.82
2024-02-26;A;131.28
2024-02-27;A;132.34
2024-02-28;A;136.79
2024-02-29;A;137.14
2024-03-01;A;138.83
2024-03-04;A;142.63
2024-03-05;A;144.12
2024-03-06;A;145.98
2024-03-07;A;149.07
2024-03-08;A;147.63
2024-03-11;A;147.05
2024-03-12;A;147.6
2024-03-13;A;147.58
2024-03-14;A;144.97
2024-03-15;A;147.24
2024-03-18;A;145.85
2024-03-19;A;147.15
2024-03-20;A;147.04
2024-03-21;A;148.5
2024-03-22;A;147.21
2024-03-25;A;145.32
2024-03-26;A;144.18
2024-03-27;A;147.13
2024-03-28;A;145.27
2024-01-02;AAL;13.44
2024-01-03;AAL;12.95
2024-01-04;AAL;13.09
2024-01-05;AAL;13.6
2024-01-08;AAL;14.58
2024-01-09;AAL;14.38
2024-01-10;AAL;14.35
2024-01-11;AAL;14.59
2024-01-12;AAL;13.21
2024-01-16;AAL;13.19
2024-01-17;AAL;12.93
2024-01-18;AAL;13.82
2024-01-19;AAL;13.66
2024-01-22;AAL;13.62
2024-01-23;AAL;14
2024-01-24;AAL;13.93
2024-01-25;AAL;15.36
2024-01-26;AAL;15.13
2024-01-29;AAL;14.94
2024-01-30;AAL;14.53
2024-01-31;AAL;14.23
2024-02-01;AAL;14.34
2024-02-02;AAL;14.56
2024-02-05;AAL;14.26
2024-02-06;AAL;14.9
2024-02-07;AAL;14.91
2024-02-08;AAL;14.95
2024-02-09;AAL;14.88
2024-02-12;AAL;14.93
2024-02-13;AAL;14.61
2024-02-14;AAL;14.86
2024-02-15;AAL;14.9
2024-02-16;AAL;14.64
2024-02-20;AAL;14.7
2024-02-21;AAL;14.79
2024-02-22;AAL;15.24
2024-02-23;AAL;15.13
2024-02-26;AAL;15.28
2024-02-27;AAL;15.54
2024-02-28;AAL;15.46
2024-02-29;AAL;15.68
2024-03-01;AAL;15.66
2024-03-04;AAL;14.81
2024-03-05;AAL;14.67
2024-03-06;AAL;14.88
2024-03-07;AAL;14.9
2024-03-08;AAL;14.68
2024-03-11;AAL;14.65
2024-03-12;AAL;13.96
2024-03-13;AAL;14
2024-03-14;AAL;13.99
2024-03-15;AAL;13.96
2024-03-18;AAL;14.11
2024-03-19;AAL;13.93
2024-03-20;AAL;14.57
2024-03-21;AAL;14.78
2024-03-22;AAL;14.82
2024-03-25;AAL;14.92
2024-03-26;AAL;14.92
2024-03-27;AAL;15.3
2024-03-28;AAL;15.35
2024-01-02;AAP;61.5
2024-01-03;AAP;60.56
2024-01-04;AAP;60.05
2024-01-05;AAP;61.07
2024-01-08;AAP;61.46
2024-01-09;AAP;60.94
2024-01-10;AAP;60.54
2024-01-11;AAP;62.23
2024-01-12;AAP;61.1
